frequencia,palabra,uso,definición,ejemplo
1287,habitante,nm,inhabitant,"soy parte de esta ciudad, soy su habitante "
1288,acerca,adv,"about, concerning",escribió un cuento acerca de un muchacho
1289,ceder,v,"to give way, yield",necesitaremos ceder mucho para llegar a un acuerdo
1290,justicia,nf,"justice, fairness",el castigo es cosa de la justicia 
1291,independiente,adj,"independent, self-sufficient",eso se llama ser independiente y no «el nenede mamá»
1292,criterio,nm,criterion,se puede tener criterio para saber lo que esbueno y lo que es malo
1293,atraer,v,to attract,queremos atraer la atención de los hombres
1294,convencido,adj,"convinced, persuaded",estoy convencido de que no estoy solo
1295,plazo,nm,"deadline, installment","nos dio una hora de plazo, y se sentó aesperar tranquilamente"
1296,pendiente,adj,"aware of, pending",ha estado pendiente de lo que estabaocurriendo en cada momento
1297,kilómetro,nm,kilometer,¿sabes cuánto es un kilómetro de distancia?
1298,hospital,nm,hospital,jefe del Servicio de Infecciosos del hospitalClínico de Barcelona
1299,satisfacción,nf,satisfaction,te recogemos con satisfacción y con orgullo
1300,futuro,adj,future,dará sus frutos en algún tiempo futuro 
1301,acumular,v,"to accumulate, amass",deseosos de acumular una fortuna para el hijo
1302,desconocido,adj,unknown,salí sin mapa con rumbo desconocido 
1303,practicar,v,to practice,para practicar otros deportes de montaña y de aventura
1304,gozar,v,to enjoy,gozaban de un privilegio político
1305,muchísimo,adj,"great many, great amount",¡ahora vas a poder ganar muchísimo dinero!
1306,sesenta,num,sixty,contó no treinta sino sesenta segundos
1307,silla,nf,"chair, seat",me senté en una silla baja junto al fuego
1308,justificar,v,"to justify, excuse",no quiero justificar ninguna acción criminal
1309,tradicional,adj,traditional,vivía en una familia tradicional 
1310,soportar,v,"to endure, stand (something)",ya no puedo soportar estos disgustos
1311,juventud,nf,youth,"un recorrido biológico por la infancia, lapubertad y la juventud "
1312,resistir,v,"to resist, endure",soy fuerte y puedo resistir mucho
1313,aparte,adv,"apart, aside, separately",no pertenezco a nadie aparte de mi propiarealidad
1314,triste,adj,"sad, unhappy",era sujeto silencioso y triste que vivía aislado
1315,acceso,nm,"access, entry",prohibían el acceso de los niños a la extensasala
1316,marco,nm,"frame, mark, setting",se componía de grandes espejos de marcodorado
1317,vestir,v,"to wear, dress","vistió el abrigo de cordero, se enrolló labufanda"
1318,prensa,nf,press,"editores, distribuidores y vendedores deprensa y revistas"
1319,excepción,nf,exception,me pregunto si soy la excepción a la regla
1320,sorprender,v,to surprise,abrió la puerta de golpe como para sorprendera quien estuviera
1321,ausencia,nf,absence,basta para determinar la presencia o ausenciade cierto elemento
1322,proceder,v,"to proceed, start",vamos a proceder como una nación distinta
1323,condenar,v,"to convict, condemn",le condenó a morir en aquellos horrorososdías de la guerra
1324,sombra,nf,"shade, shadow",tomó la siesta a la sombra de los árboles
1325,similar,adj,similar,algo similar le ocurría al resto de la familia
1326,consumir,v,"to consume, take in",no debía consumir más sal de lo conveniente
1327,sugerir,v,"to suggest, hint at ",su intención era sugerir unas ideas
1328,activo,adj,active,hubo un activo ir y venir de hombres
1329,clásico,adj,classic,los mejores ejemplos del período clásico seencuentran en Tikal
1330,profundidad,nf,"depth, profundity","tiene por lo menos, un metro de profundidad "
1331,conceder,v,"to grant, concede",la eficacia suficiente para conceder lo deseado
1332,reciente,adj,recent,en España es ésta una moda relativamentereciente 
1333,eléctrico,adj,electric,es la base del motor eléctrico y el transfor-mador
1334,leche,nf,milk,estimula la formación de leche en lasglándulas mamarias maduras
1335,consideración,nf,"consideration, regard",que someteremos a la consideración delConsejo Político
1336,componer,v,"to compose, be part of",objetos que van a componer un pequeñomuseo recordatorio
1337,premio,nm,"prize, reward",Pavlov recibe el Premio Nobel por susestudios sobre la fisiología
1338,bello,adj,"beautiful, fine",se hospedaba en esa bella mansión de unafamilia inglesa
1339,nacimiento,nm,"birth, origin","la Navidad, que se conmemora el nacimientode Jesucristo en Belén"
1340,invierno,nm,winter,"en invierno la gente suele tener miedo, el fríoes tremendo"
1341,diciembre,nm,December,"se apagó un mediodía de diciembre, diez díasantes de Navidad"
1342,brillante,adj,"brilliant, shiny, sparkling",dejando entrever un sol brillante y frío
1343,comportamiento,nm,"behavior, conduct",el hipotálamo participa en la regulación delcomportamiento sexual
1344,crítica,nf,"criticism, critique",resentimiento que expresó en las críticassobre su conducta
1345,femenino,adj,"feminine, female",el pequeño y femenino corazón de nuestrahija
1346,fuego,nm,"fire, gunfire",me quema el fuego que prendí
1347,tendencia,nf,"tendency, style",existe una fuerte tendencia a descargar estaresponsabilidad
1348,fino,adj,"fine, delicate",caía un fino polvillo
1349,norma,nf,"standard, pattern, norm",se cumplen las leyes como norma invariable
1350,inferior,adj,"lower, inferior",bajó a la parte inferior del puente
1351,arreglar,v,"to fix, arrange",el hombre arregló las cosas por las buenas
1352,rueda,nf,wheel,"no incluía jeeps, remolques, ni vehículos de ruedas "
1353,puente,nm,bridge,pasa un puente sobre el abismo
1354,animar,v,to cheer up,sonríe tratando de animar un tanto lasituación
1355,rasgo,nm,"feature, trait",es el primer rasgo saliente de la actitudhispánica
1356,positivo,adj,positive,"clasificamos en sí y no, en positivo y negativo"
1357,cuento,nm,"story, tale",le gustaría reproducirlo en cuentos y novelas
1358,definitivamente,adv,"definitely, finally",¿Visión? ¿Delirio? No; definitivamente no
1359,signo,nm,"sign, mark, symbol",su signo del Zodíaco coincide con el signoafortunado
1360,señal,nf,"sign, mark, token",¿tiene alguna señal particular en el cuerpo? //Una cicatriz
1361,apuntar,v,"to point, note, aim","cuando el barco apunta hacia el viento, pierdevelocidad"
1362,campaña,nf,campaign,fueron expresadas en una nueva campaña dereforma ideológica
1363,liberar,v,"to free, liberate",tomar las armas y liberar al país
1364,puerto,nm,"port, harbor",el puerto que sirve para tráfico oceánico
1365,profundamente,adv,"profoundly, deeply",procuro estudiar más profundamente larealidad
1366,aventura,nf,adventure,"era una historia de heroísmo y muerte, de acción y aventura "
1367,pesado,adj,"heavy, boring, tiresome",el silencio se hizo igual de pesado que el aire
1368,complicado,adj,"complicated, complex","algo más se presentía, más hondo ycomplicado"
1369,añadir,v,to add,hay que añadir los ingredientes según lareceta
1370,marca,nf,"mark, brand, trademark",se quitó el chaleco y le mostró la marca en el brazo
1371,girar,v,"to rotate, revolve",hacía girar el sombrero en la cabeza
1372,ilusión,nf,"illusion, hope, dream",fue ilusión todo ese romance
1373,os,pron,you (obj-pl/+fam),os he visto a los dos en esa tienda
1374,compra,nf,"shopping, buy, purchase",salimos mi mamacita y yo a hacer compras alCentro
1375,inteligencia,nf,intelligence,"no tiene su inteligencia ni su intención, perosí más conocimientos"
1376,volar,v,to fly,volaba con piloto automático
1377,loco,adj,"crazy, insane",estos hijos de diablo van a volverme loco
1378,virtud,nf,"virtue, quality",es una gran virtud ser disciplinado
1379,remedio,nm,"alternative, cure, solution",al final no tuvieron más remedio que ceder
1380,delicado,adj,delicate,la fabricación de vidrio es un proceso delicadoy exigente
1381,facilitar,v,to facilitate,el objetivo era facilitar el desarrollo social yeconómico
1382,territorio,nm,territory,la Amazonia ocupa un territorio de 6.000.000kilómetros cuadrados
1383,facultad,nf,"faculty, ability",es mucho más fácil enseñar en la Facultad de Educación
1384,solicitar,v,"to solicit, request","era su esposa, quería solicitar el divorcio"
1385,fotografía,nf,photograph,"me gustó mucho el paisaje, y entonces decidísacar la fotografía"
1386,techo,nm,roof,"es una casa clásica campesina, con techo de tejas"
1387,temer,v,to fear,empecé a temer que una bomba atómica ibaa caer
1388,conducta,nf,"conduct, behavior",no encontraba en su conducta algo quemereciese un golpe tan brutal
1389,violento,adj,violent,los incesantes ataques que anuncian cada vez más violentos
1390,aquél,pron,that one over there (m),¿y cuál es su coche? - Aquél 
1391,salto,nm,"jump, hop, skip","al dar un salto maravilloso, me quebré lapierna"
1392,pan,nm,bread,ni hay agua ni hay peces ni pan para darle decomer
1393,atacar,v,to attack,nos atacó con igual o mayor violencia
1394,sano,adj,"healthy, wholesome","era un animal sano, fuerte y hermoso"
1395,pegar,v,"to hit, stick (on)",empezaron a tirarme cosas; uno me pegó y yo me defendí
1396,juzgar,v,to judge,me juzgó siempre loca y no sé si tambiénmala pecadora
1397,limpio,adj,clean,"procuraba mantener limpio el uniforme, queera blanco"
1398,disposición,nf,"disposal, disposition",tendrá a su disposición todas las armas legalesapropiadas
1399,posterior,adj,"rear, backside",las subieron al asiento posterior del automóvil
1400,general,nm,general,aumentó rápidamente entre los generales del Ejército Imperial
1401,disciplina,nf,"discipline, subject",imponía la disciplina escolar
1402,relacionado,adj,"related, regarding",es un lugar relacionado con nuestra historia
1403,habitual,adj,"usual, habitual, customary","se llevó de maravilla, lo que no era habitual en todos los cantantes"
1404,personal,nm,"personnel, staff, staffing",el personal que trabaja ahí no lo ve de lamisma manera
1405,interrumpir,v,to interrupt,suspiro en silencio para no interrumpir laconcentración
1406,columna,nf,"column, spine",la longitud de la columna de mercurio en un termómetro
1407,verdaderamente,adv,truly,le saca el empleo a los que verdaderamentenecesitan
1408,fabricar,v,to manufacture,contrató a gente para fabricar y vender elproducto
1409,únicamente,adv,only,me dedico únicamente a mi arte
1410,nervioso,adj,"nervous, uptight","el pobre anciano estaba temblando, nervioso "
1411,indio,nm,Indian,me da miedo de que hagan como losespañoles con los indios en América
1412,gato,nm,cat,Esto es ya el juego del gato y el ratón
1413,margen,nmf,"edge, margin, border, brink","los hippies, que llevan una vida un poco almargen de la sociedad"
1414,material,adj,material,lo invisible está más allá de lo material 
1415,resistencia,nf,"resistance, opposition",fue combatido por la resistencia popular
1416,consciente,adj,"conscious, aware",el pueblo está muy consciente de sus traidorasacciones
1417,pérdida,nf,loss,"destruyen las células, dando lugar a pérdida dememoria y demencia"
1418,tratamiento,nm,"treatment, processing",se utiliza para el tratamiento de pacientes quesufren hipertensión
1419,entrevista,nf,"interview, meeting",en la segunda entrevista no se puede decir«nunca»
1420,espectáculo,nm,"spectacle, show","el teatro no es sólo espectáculo, sino tambiéncultura"
1421,personalidad,nf,"personality, celebrity",un hombre que les fascina con su personali-dad enigmática
1422,mayo,nm,May,estoy hablando del mes de mayo de 1996
1423,confiar,v,"to trust, confide",me contó que confía en Dios y lee la Biblia
1424,operar,v,to operate,la economía china operó bajo un tipo desistema feudal
1425,representación,nf,representation,reemplazado por una representación objetivade los objetos
1426,régimen,nm,"regime, diet","no pensaría eso mismo del régimen deFranco, del franquismo"
1427,punta,nf,"tip, point",empieza a saltar en la punta de los pies
1428,vital,adj,"vital, lively, essential",eso era de vital importancia
1429,alegría,nf,"joy, happiness","S. sentía la alegría de vivir, bajo un cielo sinnubes"
1430,basar,v,"to base on, base upon",voy a basar el argumento en hechos concretos
1431,igualmente,adv,equally,era igualmente cariñosa con ella y con losniños
1432,misión,nf,"mission, task","él es cura y su misión es decir misa, bautizar alos muchachos, casar"
1433,estimar,v,"to estimate, hold in esteem",el problema es el de estimar resultados válidos
1434,cotidiano,adj,daily,era de lo más natural y cotidiano
1435,confirmar,v,to confirm,los investigadores tratan de confirmar si esverdad
1436,empleo,nm,"work, job, occupation",o buscar empleo en el registro de ofertas detrabajo
1437,previo,adj,previous,los cambiaron sin previo aviso
1438,participación,nf,"participation, involvement",pero debemos tener una mayor participacióncívica
1439,integrar,v,"to integrate, fit in",el teólogo buscaba integrar la religión y laciencia
1440,período,nm,"period, time",estamos en un período histórico especial
1441,busca,nf,"search, hunt",están a la busca de nuevos mercados
1442,superficie,nf,"surface, area ",las ondas sísmicas que se generen en lasuperficie de Júpiter
1443,aprobar,v,"to pass (test), approve",estudian mucho para aprobar los exámenes
1444,chino,adj,Chinese,una escaramuza entre las tropas japonesas y chinas 
1445,pasión,nf,"passion, desire",se necesita mucha pasión para ser pintor
1446,vehículo,nm,"vehicle, car",bajaron del vehículo cuando el conductorestacionó
1447,inteligente,adj,intelligent,era muy inteligente y lo había comprendidotodo
1448,grabar,v,"to record, engrave",en un sismógrafo para grabar movimientosverticales
1449,enero,nm,January,¿te acuerdas que se daba en enero y luego en julio?
1450,capítulo,nm,chapter,este capítulo debe leerse cuidadosamente
1451,fracaso,nm,"failure, collapse",la realidad ha demostrado el fracaso delcomunismo
1452,experto,nm,expert,pronto se convirtió en un experto en armas yexplosivos
1453,inquietud,nf,"restlessness, anxiety",tiene la intranquilidad e inquietud de niño
1454,nuevamente,adv,"anew, again",empezaron nuevamente las peleas con ella
1455,once,num,eleven,eran las once menos cuarto
1456,listo,num,"eady, clever, smart",en la mesa estaba listo mi desayuno
1457,equivocar,v,to be wrong,y me equivoqué; jamás volví a ver mi dinero
1458,organismo,nm,"organization, organism,(human) body",¿han recibido alguna ayuda de un organismoprivado?
1459,canción,nf,song,sonarán el himno nacional y la cancióncatalana «Els Segadors»
1460,religión,nf,religion,existía otra religión aparte de la que nosotrosprofesábamos
1461,correspondiente,adj,corresponding,acompaña a la denuncia el correspondientediagnóstico médico
1462,departamento,nm,"department, apartment",la noticia se filtró del departamento central depolicía
1463,generalmente,adv,"generally, usually",a las diez y media generalmente elmovimiento comenzaba
1464,periodista,nc,journalist,¿cuál es su profesión? // Periodista // ¿Dóndeescribe?
1465,seguido,adj,"in a row, successive",no pude dormir durante dos días seguidos
1466,llorar,v,to cry,lloraba; se enjugó los ojos con la servilleta
1467,griego,adj,Greek,un gran poeta griego de la antigüedad
1468,interpretación,nf,"interpretation, interpreting",de desarrollar su propia interpretación sobrelo que habían estudiado
1469,maestro,adj,master,esperaba poder escribir por fin su obramaestra
1470,barato,adj,inexpensive,todo era muy barato y la gente vivía con máscomodidades
1471,proyectar,v,to project,usa una lente para proyectar la imagennegativa
1472,belleza,nf,beauty,se da cuenta de la belleza natural que tieneColombia
1473,universidad,nf,"university, college",Nebrija busca refugio en la Universidad deAlcalá
1474,riqueza,nf,"riches, wealth","las viejas glorias de España, la riqueza de suimperio del siglo XVI"
1475,notable,adj,"outstanding, noteworthy",este libro posee una calidad estética notable 
1476,beber,v,to drink,a comer un trozo y a beber un vaso de leche
1477,claramente,adv,clearly,hemos entendido claramente su mensaje
1478,rato,nm,"moment, while, time","cuando hacía buen tiempo, se paseaba unrato sola por el parque"
1479,encargado,adj,in charge of,¿quien está encargado de velar por suimperio?
1480,técnico,adj,technical,director artístico y director técnico 
1481,ciego,adj,blind,ha tenido una fe ciega en aquella criatura
1482,individual,adj,individual,"su misión era solitaria, su problema individual "
1483,apreciar,v,to appreciate,yo pude apreciar sus méritos
1484,experimentar,v,"to experience, experiment","experimentó un amor remozado, vibrante eimpulsivo"
1485,justamente,adv,"just, exactly",es justamente porque me tienen confianza
1486,amar,v,to love,cuánto amaba a ese muchachito hermoso
1487,equilibrio,nm,balance,hay que encontrar el equilibrio entre elcontenido y la forma
1488,universal,adj,universal,crearon una declaración universal de losderechos humanos
1489,ah,interj,oh,"ah, bueno . . . ¿Ya movieron los materiales?"
1490,fruto,nm,"fruit, result",este fármaco es fruto de dieciocho años detrabajo
1491,representante,nc,representative,se nombró un representante gubernamentalpara buscar la paz
1492,robar,v,"to rob, steal",robar diez pesos era pecado mortal
1493,reír,v,to laugh (at),"se rió, como si hubiera dicho algo muychistoso"
1494,literario,adj,literary,hay una dualidad entre el inglés literario y elinglés oral
1495,exceso,nm,excess,comencé a sentirme sumamente enfermo por el exceso de trabajo
1496,capa,nf,"layer, coat",la capa de ozono que protege la vida de laradiación ultravioleta
1497,defecto,nm,defect,el Telescopio Espacial Hubble (HST) tiene undefecto de fabricación
1498,fábrica,nf,"factory, manufacture",en la fábrica se producen cosas de plástico
1499,espalda,nf,back (body),"ofendido, me dio la espalda "
1500,mezclar,v,to mix,en sus ojos se mezclaban la alegría y lapreocupación
1501,género,nm,"sort, gender, genre",te estoy comprendiendo bien sin ningúngénero de dudas
1502,continuo,adj,continuous,durante cinco años continuos lo conocí
1503,distribuir,v,"to distribute, deliver",esa carta se distribuye a todos los demás
1504,economía,nf,"economy, economics, thriftiness",para gastar en obras públicas y reactivar laeconomía
1505,apartar,v,"to move away, separate",se apartó del rebaño para seguir su propiocamino
1506,bosque,nm,forest,se dirigió al pequeño bosque de pinosfronterizo a la casa
1507,reclamar,v,"to demand, require","«Por favor, déme diez relojes», reclama unamujer"
1508,paisaje,nm,landscape,"un paisaje extraño: una montaña, un río yárboles con flores"
1509,quemar,v,to burn,me propongo cortar mucha leña y quemarmucho carbón
1510,llamado,nm,"call, calling",esto es como un llamado de Dios paraejecutar acciones solidarias
1511,paciente,nc,patient,no todos los pacientes experimentan dolortorácico
1512,elevado,adj,"elevated, high, lofty",existía un elevado índice de pobreza yanalfabetismo
1513,obedecer,v,to obey,voy a obedecer a mi padre; voy a cumplir consu deseo
1514,tensión,nf,"tension, stress, strain","nada me parecía serio, a pesar de la tensión yel anormal silencio"
1515,establecido,adj,established,era la única de las colonias establecidas queelegía diputados
1516,local,adj,local,cuando podíamos rivalizar con la producciónlocal 
1517,satisfacer,v,to satisfy,satisfacía su ego que ella le sacara las botas
1518,concebir,v,"to conceive, understand",concibió el plan para alcanzar su propósito
1519,ministro,nm/f,"(government) secretary, minister",el Ministro de Hacienda dice que no haymucho que negociar
1520,impulso,nm,"impulse, momentum",lo que realmente me dio el impulso fue unacosa muy curiosa
1521,reaccionar,v,to react,el agua reacciona con los minerales
1522,comercio,nm,"commerce, trade",¿cómo se pasa del monopolio al comerciolibre?
1523,naturalmente,adv,naturally,los paraguayos somos naturalmente músicos
1524,acusar,v,to accuse,no puedo mentir para acusar a mis amigos
1525,espera,nf,wait,estamos en espera de soluciones que vendránel próximo año
1526,gastar,v,to spend (money),tuvo que gastar todo lo que tenía para alquilarlas flechitas
1527,reserva,nf,"reservation, reserve","abandonando toda reserva, le puso delante larealidad desnuda"
1528,regalar,v,to give (as a gift),a mi tía nunca le gustó regalar dinero
1529,competencia,nf,"competition, contest",hay una competencia bastante fuerte entreambos
1530,quejar,v,to complain,se quejaba de dolencias de viejo
1531,penetrar,v,"to penetrate, come in",por la ventana abierta penetra el aire fresco
1532,vacío,adj,"empty, vacant","tarea cumplida, noche vacía"
1533,aislado,adj,isolated,"estaba solo, aislado en medio del gran silencio"
1534,rendir,v,[se] to give in; to render,habría caído de rodillas para rendir tributo a laobra
1535,observación,nf,observation,siempre al día en la observación de la políticacontemporánea
1536,registrar,v,"to register, record",se dedicaron a registrar y a conservar laherencia folclórica
1537,limpiar,v,to clean,le limpian los labios con las servilletas
1538,vacío,nm,"emptiness, void","el salto en el vacío, es generalmente un saltohacia la muerte"
1539,atribuir,v,to attribute,de no saber a qué atribuir semejante aireoptimista
1540,cifra,nf,"figure, number, amount",han triplicado la cifra de exportación
1541,ocultar,v,to hide,cubría el rostro para ocultar sus ojos
1542,escala,nf,"scale, ladder, rank",iniciador de luchas políticas de escala nacional
1543,enterar,v,to find out [se],me quiero enterar cómo van sus problemas
1544,procedimiento,nm,"procedure, proceedings",hemos establecido un procedimiento paranegociar
1545,ajustar,v,"to adjust, tighten",ajusta un botón de la chaqueta
1546,fórmula,nf,formula,plantean la siguiente fórmula matemática: z = x - (x/y) * y
1547,ámbito,nm,"sphere, space",en el ámbito nacional hay una gobernabilidadgarantizada
1548,informe,nm,report,ya he leído el informe escrito
1549,dimensión,nf,"dimension, size",el arte ha introducido una dimensión máshumana en la vida moderna
1550,cliente,nc,"client, customer","hablábamos de los negocios, de los clientes, yde las ventas"
1551,manifestación,nf,"protest, manifestation",la policía acabará de disolver esa mani-festación en la plaza
1552,aspirar,v,"to aspire, want",todo el mundo aspiraba a ello y queríaconseguirlo en dos días
1553,pico,nm,"y pico: and a bit; beak, peak",a través de estos cuarenta y pico años
1554,sensibilidad,nf,sensitivity,la sensibilidad estética es inherente a lanaturaleza humana
1555,recurrir,v,to resort to,no saben recurrir a su propia iniciativa
1556,múltiple,adj,"multiple, many","la pintura es infinita, múltiple, cambiante"
1557,regreso,nm,return,tomamos el tren de regreso en la tarde
1558,temperatura,nf,temperature,su temperatura crítica es de 28 grados Kelvin
1559,julio,nm,July,"que vamos a tener el cuatro de julio, el día de la independencia"
1560,poderoso,adj,powerful,organizó un poderoso ejército de 300.000hombres
1561,digno,adj,worthy,es digno de toda consideración
1562,bomba,nf,"bomb, explosion, pump",con el lanzamiento de la primera bombaatómica sobre Hiroshima
1563,órgano,nm,organ,el corazón es un órgano que sirve para enviarsangre a los pulmones
1564,inútil,adj,useless,yo trataba de calmarlas pero era inútil 
1565,avance,nm,"advance, progress",explicó cómo eso significaba un avance para la civilización
1566,humanidad,nf,"humanity, mankind",voy a educar a la humanidad por medio de lamúsica
1567,firma,nf,"company, signature, signing",afirma que hay contactos con la firma Sony 
1568,soldado,nm/f,soldier,vestido con el uniforme de soldado de laGuerra del Pacífico
1569,sólido,adj,"solid, strong",no tenía ningún argumento sólido paracontestarle
1570,firme,adj,"firm, steady",tenemos la firme convicción de reconocererrores
1571,extremo,adj,extreme,nada poseían salvo la extrema pobreza
1572,conforme,adj,in agreement,como artista no estoy conforme con lasociedad
1573,esencial,adj,essential,ni me parece esencial ni lo considero unrequisito previo
1574,huir,v,"to flee, run away",huyó hacia la calle como alma en pena
1575,percibir,v,"to perceive, notice",pudo percibir la dulzura de su aroma
1576,clima,nm,climate,"el clima era tropical, húmedo, con vegetaciónabundante"
1577,emoción,nf,"emotion, excitement","fueron momentos de gran tensión, de granemoción "
1578,automóvil,nm,automobile,era un automóvil Chevrolet último modelo dela década del 50
1579,transcurrir,v,"to occur, take place",¿cuántos días podrían transcurrir para quelleguen?
1580,mal,nm,evil,reflejaba la eterna lucha entre el bien y el mal 
1581,recomendar,v,to recommend,me recomendó que leyera las instrucciones
1582,habilidad,nf,"ability, skill, talent",no tengo habilidad para tocar el jazz
1583,identidad,nf,identity,ellos sufrieron de una quiebra de la identidadnacional
1584,desgracia,nf,"misfortune, bad luck",se emborracha y condena a su familia a ladesgracia económica
1585,corregir,v,"to correct, rectify",vamos a corregir algunos errores
1586,amarillo,adj,yellow,"los colores cálidos (rojo, amarillo y anaranjado) "
1587,consultar,v,to consult,vio al gobernador consultar su reloj
1588,deber,nm,"duty, obligation",todos tenemos el deber de alimentar esa luzde esperanza
1589,cola,nf,"line, queue, tail",yo era la primera de la larga cola de carros
1590,padecer,v,to suffer,un riesgo elevado de padecer enfermedadescoronarias
1591,progreso,nm,progress,está haciendo un gran progreso en la luchacontra el narcotráfico
1592,elaborar,v,"to make, develop",hice fuego y logré elaborar un café pasable
1593,soñar,v,to dream,yo soñaba con ser piloto
1594,muestra,nf,"proof, sample, sign",en pocas semanas empezó a dar muestras derestablecimiento
1595,acostumbrado,adj,accustomed,ya estoy acostumbrado al calor y al frío
1596,hábito,nm,habit,era un hábito que se repetía invariablementeen cada ocasión
1597,gritar,v,to shout,¡tápate la cabeza! - gritó una voz a mi lado
1598,artístico,adj,artistic,París se convirtió en el centro artístico deEuropa
1599,mecanismo,nm,mechanism,que establezcamos un mecanismo paradecidir la reforma del Estado
1600,vivienda,nf,"housing, dwelling",la distancia de la vivienda a los centros detrabajo
1601,ocupado,adj,"busy, occupied",pensando que estaría muy ocupadotrabajando para los tres
1602,área,nf,"(el) area, zone",encerrando un área circular de unos treintametros de diámetro
1603,traducir,v,to translate,la posibilidad de traducir una lengua con todaexactitud
1604,efectivamente,adv,"in fact, actually, indeed",veremos si efectivamente se justifica la ayuda
1605,interesado,adj,(self-) interested,tú estabas muy interesada en las ruinas deTiahuanacu
1606,mezcla,nf,"mixture, blend","ella era una mezcla de amor, de sadomaso-quismo, de promiscuidad"
1607,excesivo,adj,excessive,el coche corría a excesiva velocidad
1608,sumar,v,"to add up, amount to",los diputados sumaron 64 votos en favor
1609,alimentar,v,"to feed, support",la lejanía y la nostalgia alimentan laimaginación
1610,habitación,nf,"room, bedroom, habitat",tocaban la puerta de la habitación 222 delHotel Diamante
1611,instrucción,nf,instruction,fue sometido a una intensa instrucción militar
1612,eliminar,v,"to eliminate, exclude",la ventilación elimina los olores y sabores
1613,versión,nf,"version, account",presentó en Londres la versión inglesa de suscrónicas
1614,lujo,nm,luxury,no podía permitirse el lujo de comprometerlo
1615,intervención,nf,intervention,le prometió su intervención ante cualquieremergencia
1616,llegada,nf,arrival,para celebrar el V Centenario de la llegada de Colón a América
1617,alrededor,nm,"surrounding area, vicinity",entró y dio una mirada a su alrededor 
1618,testigo,nm,witness,soy testigo directo de tal falsedad
1619,dominio,nm,"power, control",intentaría extender su dominio e influencia
1620,raza,nf,"race, lineage",fue el primer presidente de raza negra de laRepública de Sudáfrica
1621,renunciar,v,"to give up, renounce",no debemos renunciar a esa idea excelente
1622,descubrimiento,nm,discovery,"el descubrimiento de otro quark, el «charmquark»"
1623,vacaciones,nf,vacation,iba a pasar vacaciones en Viña del Mar
1624,provincia,nf,"province, region",nació en la provincia de Badajoz y se formó enla escuela sevillana
1625,saber,nm,knowledge,el saber de los geógrafos griegos se difundiópor Europa
1626,argentino,adj,Argentine,"no se puede hablar del dialecto argentino,sino del dialecto porteño"
1627,cómodo,adj,"comfortable, convenient","no es cómodo, es molesto"
1628,acostumbrar,v,to be accustomed to,no me puedo acostumbrar a este clima
1629,fácilmente,adv,easily ,los misterios no pueden explicarse fácilmente 
1630,claridad,nf,"clearness, clarity",mi mirada borrosa no me permite ver conclaridad 
1631,negativo,adj,"negative, pessimistic",otro aspecto negativo es la libertad controlada
1632,revisar,v,"to check, revise, inspect",el médico revisó el vendaje de las manos
1633,carecer,v,to be without,"una experiencia difícil, por carecer de ayuda"
1634,científico,adj,scientific,"pronunciamientos de sociedades científicas,de grupos de expertos"
1635,arena,nf,sand,los pies descalzos juegan con la arena limpia ygranulosa del arroyo
1636,postura,nf,"posture, position, attitude",parecía preocupado y trataba de adoptar unapostura natural
1637,salón,nm,"hall, room","en el salón social hay eventos culturales, hayasambleas"
1638,escenario,nm,"stage, setting, scene",eso crea una mayor familiaridad entreescenario y audiencia
1639,armado,adj,armed,el conflicto armado de 1994 trajo paranosotros dos impactos
1640,largo,nm,a lo largo: throughout; length,los peces crecen a lo largo de sus vidas
1641,prometer,v,to promise,prometió que mañana cumpliría con sudeber
1642,contento,adj,"happy, content","estoy contento, verdaderamente feliz de estarde nuevo con usted"
1643,hotel,nm,hotel,pasamos tres días en un hotel de primeraclase
1644,oficio,nm,"job, occupation, function",nuestro oficio es remover las ruinas yrecolectar trastos
1645,descender,v,to descend,descendió de la cabina y empezó a cruzar lapista
1646,cubierto,adj,covered,"las piernas delgadas y fuertes, cubiertas conmedia de seda"
1647,fila,nf,"line, row, file",extendió de un extremo a otro una inmensafila de peregrinos
1648,patrón,nm,"employer, landlord, patron saint",tu jefe o patrón tiene cada día una cara másespantosa
1649,pecho,nm,"chest, breast",él la reclinó sobre su pecho
1650,tienda,nf,"shop, store, tent",la tienda que me gustaba mucho por lavariedad de muebles
1651,típico,adj,typical,una de esas típicas leyendas chilenas
1652,protección,nf,protection,no hay protección contra esa enfermedadfatal
1653,funcionario,nm,civil servant,"es un burócrata, un funcionario estatal"
1654,reproducir,v,"to reproduce, repeat",cada una de estas láminas reproduce un color
1655,constar,v,"to consist of, comprise",el observatorio consta de cuatro telescopios
1656,crítico,adj,critical,sus observaciones críticas podían llegar a sercáusticas
1657,transporte,nm,"transportation, transport",Iberia ha detentado el monopolio deltransporte aéreo español
1658,red,nf,"network, net, system",se hace pública y pasa a ser difundida portoda la red 
1659,caída,nf,"fall, drop, falling",puede durar tres meses pero la caída deSadam es una caída inevitable
1660,castellano,adj,"Castilian, Spanish",en edición bilingüe: castellano e inglés
1661,asociar,v,to associate with,"a veces, la Naturaleza se asocia con losmalvados"
1662,desconocer,v,"to not know, not recognize",todavía se desconoce la identidad del cuerpo
1663,valle,nm,valley,las aguas que discurren a lo largo de un valle 
1664,fallar,v,"to fail, miss",una cosa que no falla es infalible
